Subject,Gender,Condition,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
YY,F,短,6.3740220783984345,0.7775428865329235,0.12198622423477586,29.197140001325856,8.197646957867885,917.7881885727571,1.2970784017199686
YY,F,漫,4.759504214532969,0.6043272025871275,0.1269727213901475,-0.20887844854459026,7.875707388576106,-6.56592299495505,1.246139289053423
YY,F,长,4.770362410937047,0.752126120820456,0.15766645299234514,0.9354823427064005,6.342503310127431,29.406121445981295,1.0035470054620865
YYH,F,漫,4.093163479040002,0.9783646711005346,0.23902408885217485,-0.5829136485489488,4.183678744691097,-13.652456417830873,0.27941537987967496
YYH,F,短,6.258738503097621,0.8286827460762777,0.1324041171661254,-1.200914979530494,7.552635230710503,-28.126703604167812,0.5044178989028489
YYH,F,长,9.073396078006088,1.678470257797051,0.18498809523654136,-0.31177553870856833,5.405753266021339,-7.302114069485615,0.3610340789855916
YYX,F,短,9.886885462977906,1.6917316569752787,0.17110865330746264,0.5091792073519859,5.844239789574608,3.121435814637969,0.23397529583787086
YYX,F,漫,5.8052864910361315,0.5185703833903093,0.08932726820476942,0.19842501932369672,11.194789901193994,1.2164105542688797,0.44818562777783083
YYX,F,长,3.5502333942778477,0.44416353425200805,0.12510826329556152,2.3608005938684333,7.993077145012827,14.472483201430896,0.32000442435566584
ZD,F,漫,4.933942720883022,1.417344838173642,0.2872641451986661,-0.011414239069490684,3.4811166541804934,-0.07549853217271137,0.31388866617289796
ZD,F,短,11.13195279599728,3.151213195811092,0.283078203219131,-0.6758396816574948,3.532592720414787,-4.470285197162088,0.31853020949799915
ZD,F,长,20.489878080738567,4.918994425109629,0.24006948239158685,-0.7510068608556004,4.1654607242784,-4.967472233675891,0.3755952588285621
ZHR,M,长,4.572289974429472,0.492046926000256,0.10761498696539985,1.608810467545906,9.292386016099393,-4.050176475022452,0.8504684418989467
ZHR,M,漫,5.541968278319581,0.6147471283119176,0.11092577536339117,0.42107279929810826,9.015037278071892,-1.060049757502206,0.8250846116658694
ZHR,M,短,4.589921788327959,0.4908490046059767,0.10694060318286726,1.423178909703573,9.350985222049019,-3.5828494755023335,0.8558316258319161
ZJM,F,短,8.683266627093502,0.8353732288714232,0.09620494967468743,2.2436488068272986,10.394475579286238,48.70808307887271,0.5182627794885228
ZJM,F,长,7.250938332473467,0.925562332533154,0.12764724923779938,6.9937623666769735,7.834089696183413,151.82980391289763,0.3906033613467983
ZJM,F,漫,6.3434829232227115,0.7134302883739202,0.11246665231211384,1.5307236181479968,8.891524549204435,33.230964193980604,0.4433264758391549
ZYH,M,长,2.911820473570115,1.111276909228786,0.381643346255573,0.6636953106951289,2.6202474373294473,-0.08375558806936094,0.5123034106404365
ZYH,M,短,9.069066353202016,2.7923105749772414,0.3078939403714209,53.413104892467985,3.2478716495481286,-6.740511705881411,0.635014731693327
ZYH,M,漫,11.95245752461058,3.2413987286542416,0.271190984948499,4.359397070675463,3.6874382096068077,-0.5501377806931561,0.7209575494262433
ZZY,M,长,12.385265215104372,2.9539906667057094,0.23850847078374945,-2.3796183947296825,4.192723204815139,1.2792472332692686,0.5473363420705306
ZZY,M,漫,6.371385137594303,1.2763060021630563,0.20031845110605914,-0.6972734766765276,4.992051378584928,0.37484378497242987,0.6516841221106308
ZZY,M,短,9.817706700693781,2.1505490908885005,0.21904800748799402,-1.3601793116634404,4.565209295751343,0.7312120401528556,0.5959622981677594
